time,C_20191017_001_p1a,C_20191017_001_p1b,C_20191017_002_p1a,C_20191017_002_p1b,C_20191017_004_p1a,C_20191017_004_p1b,C_20191017_004_p2a,C_20191017_004_p2b,C_20191017_004_p3a,C_20191017_004_p3b,C_20191017_004_p4a,C_20191017_004_p4b,C_20191017_005_p1a,C_20191017_005_p1b,C_20191017_005_p2a,C_20191017_005_p2b,C_20191017_005_p3a,C_20191017_005_p3b,C_20191017_005_p4a,C_20191017_005_p4b,C_20191017_005_p5a,C_20191017_005_p5b,C_20191018_002_p1a,C_20191018_002_p1b,C_20191018_002_p2a,C_20191018_002_p2b,C_20191018_003_p1a,C_20191018_003_p1b,C_20191018_003_p2a,C_20191018_003_p2b,C_20191018_006_p1a,C_20191018_006_p1b,C_20191018_009_p1a,C_20191018_009_p1b,C_20191018_009_p2a,C_20191018_009_p2b,C_20191018_011_p1a,C_20191018_011_p1b,C_20191018_013_p1a,C_20191018_013_p1b,C_20191018_015_p1a,C_20191018_015_p1b,C_20191031_004_p1a,C_20191031_004_p1b,C_20191031_004_p2a,C_20191031_004_p2b,C_20191031_008_p1a,C_20191031_008_p1b,C_20191031_009_p1a,C_20191031_009_p1b,C_20191031_011_p1a,C_20191031_011_p1b,C_20191031_012_p1a,C_20191031_012_p1b,C_20191031_012_p2a,C_20191031_012_p2b,C_20191031_013_p1a,C_20191031_013_p1b,C_20191031_013_p2a,C_20191031_013_p2b,C_20191031_013_p3a,C_20191031_013_p3b,C_20191031_017_p1a,C_20191031_017_p1b,C_20191031_017_p2a,C_20191031_017_p2b,C_20191031_017_p3a,C_20191031_017_p3b,S_20191010_002_P1a,S_20191010_002_P1b,S_20191010_002_P3a,S_20191010_002_P3b,S_20191010_005_p2a,S_20191010_005_p2b,S_20191010_005_p3a,S_20191010_005_p3b,S_20191010_005_p4a,S_20191010_005_p4b,S_20191010_006_p1a,S_20191010_006_p1b,S_20191010_006_p2a,S_20191010_006_p2b,S_20191010_006_p3a,S_20191010_006_p3b,S_20191010_009_p1a,S_20191010_009_p1b,S_20191010_009_p2a,S_20191010_009_p2b,S_20191010_012_p1a,S_20191010_012_p1b,S_20191010_012_p2a,S_20191010_012_p2b,S_20191010_013_p1a,S_20191010_013_p1b,S_20191010_013_p2a,S_20191010_013_p2b,S_20191010_013_p3a,S_20191010_013_p3b,S_20191010_013_p4a,S_20191010_013_p4b,S_20191010_013_p6a,S_20191010_013_p6b,S_20191011_003_p2a,S_20191011_003_p2b,S_20191011_004_p1a,S_20191011_004_p1b,S_20191011_004_p2a,S_20191011_004_p2b,S_20191011_004_p3a,S_20191011_004_p3b,S_20191011_004_p5a,S_20191011_004_p5b,S_20191011_004_p6a,S_20191011_004_p6b,S_20191011_006_p1a,S_20191011_006_p1b,S_20191011_006_p2a,S_20191011_006_p2b,S_20191011_006_p3a,S_20191011_006_p3b,S_20191011_006_p4a,S_20191011_006_p4b,S_20191011_006_p5a,S_20191011_006_p5b,S_20191107_002_p1a,S_20191107_002_p1b,S_20191107_002_p2a,S_20191107_002_p2b,S_20191107_002_p3a,S_20191107_002_p3b,S_20191107_003_p1a,S_20191107_003_p1b,S_20191107_003_p2a,S_20191107_003_p2b,S_20191107_003_p3a,S_20191107_003_p3b,S_20191107_003_p4a,S_20191107_003_p4b,S_20191107_005_p1a,S_20191107_005_p1b,S_20191107_005_p2a,S_20191107_005_p2b,S_20191107_007_p1a,S_20191107_007_p1b,S_20191107_007_p2a,S_20191107_007_p2b,S_20191107_007_p3a,S_20191107_007_p3b,S_20191107_008_p1a,S_20191107_008_p1b,S_20191107_009_p1a,S_20191107_009_p1b,S_20191107_009_p2a,S_20191107_009_p2b,S_20191107_009_p3a,S_20191107_009_p3b,S_20191107_009_p4a,S_20191107_009_p4b,S_20191107_010_p1a,S_20191107_010_p1b,S_20191107_010_p2a,S_20191107_010_p2b,S_20191107_010_p3a,S_20191107_010_p3b,S_20191107_011_p1a,S_20191107_011_p1b,S_20191107_011_p2a,S_20191107_011_p2b,S_20191107_012_p1a,S_20191107_012_p1b,S_20191107_012_p2a,S_20191107_012_p2b,S_20191107_012_p3a,S_20191107_012_p3b,S_20191107_014_p1a,S_20191107_014_p1b,S_20191107_014_p2a,S_20191107_014_p2b,S_20191107_015_p1a,S_20191107_015_p1b,S_20191107_015_p2a,S_20191107_015_p2b
30,8.973978661,7.785706904,8.38265143,7.201366884,8.611889572,9.607499675,8.899875168,9.825184833,6.415510736,7.44285456,7.720927535,8.460981326,6.307026003,7.101488858,6.817239397,6.03800207,6.786971342,7.42389938,5.030068986,5.94535533,6.227341327,6.910820501,10.08363987,11.06464875,8.505215459,9.013599337,5.974449765,6.629905128,5.884480011,6.816192045,7.061238206,5.827875256,7.459343738,8.55934168,4.507840725,6.405927021,2.757294689,3.422058591,10.30918935,9.270487905,5.089196891,3.901417307,7.320284147,6.396096466,6.349278778,5.517969554,7.644110413,6.771542291,7.001093058,6.340440994,7.180273532,6.348792405,5.974371348,5.030542416,8.291853472,7.67532755,7.979053578,7.198156014,9.954461512,8.998319454,8.948800646,8.039610438,6.691136376,5.755639408,7.340958861,6.05493592,5.906906212,4.840384282,7.696649791,8.624413835,6.471653962,7.244572727,8.807773896,7.805322351,9.395124906,8.449340862,7.832621528,7.047260815,7.048520767,8.507185198,5.6786155,7.114802879,7.207479795,8.67053176,6.327613452,7.443524434,5.755217198,7.338831787,6.903076198,6.135583509,8.309609136,7.104187498,6.667569872,7.890740523,4.892729402,5.771110985,5.58123257,6.943027078,6.832314396,7.718706174,5.166420521,6.50048629,7.747720439,9.030347336,5.818516392,6.894684112,3.066731974,4.402279977,6.987034636,6.338879396,4.286614632,5.730977229,6.876641622,5.833538977,7.189188063,8.514458761,6.850463634,8.176538387,6.131960942,8.016060379,5.974984686,7.331158503,5.410724536,6.987383487,5.217593794,6.416063357,7.151227167,8.125896627,6.02814814,7.038729431,4.668475126,6.303793223,6.444962762,7.857609306,6.09907247,5.136649589,5.663600268,7.031462508,7.520895957,6.567264423,6.695422391,7.95817567,7.897963598,9.009568691,8.212122077,6.87209786,7.691238977,9.027284919,9.519426979,7.434042844,7.921070256,9.495987047,8.141905919,6.681451115,6.992687395,5.309021002,9.091450489,7.260670079,5.747222373,7.245524757,6.37598659,7.630512761,6.63548898,8.15701986,7.503684428,8.940030984,7.199472203,8.640401843,5.974573625,7.205002498,5.294766095,6.590238008,8.650690724,7.737415589,4.828998758,5.987750496,6.564828254,7.543559505,8.023250713,6.393456108,8.347809593,6.57406191
33,9.18778537,7.953938961,8.374279312,7.157697116,8.543824729,9.540410316,9.003930031,9.942871316,6.312673998,7.276300434,7.792916784,8.538423098,6.237725948,7.051378589,6.831929742,5.997673049,6.723975982,7.392133386,5.170050677,6.102555858,5.99008414,6.714958377,10.14988286,11.05589404,8.500332993,9.141021879,5.809253394,6.52757612,5.739655913,6.804493001,7.164706903,6.118785827,7.456557517,8.546973558,4.246328532,6.301349221,2.853110583,3.58634647,10.33642308,9.253560666,5.013183021,3.944616711,7.202602377,6.266737588,6.370938078,5.645915338,7.577264942,6.679305727,6.998151827,6.288446867,7.1619401,6.302573601,5.981010617,5.087086101,8.207368397,7.618771883,7.919324845,7.239643085,10.20721412,9.095438692,8.99299533,8.163723721,6.617167143,5.674365163,7.209119225,5.873378074,5.865878621,4.918142434,7.662808689,8.590703929,6.603109116,7.338198825,8.737706106,7.73042515,9.478842176,8.451204944,7.849142628,7.06346466,7.084693713,8.604290209,5.702115046,7.053597238,7.250650867,8.675004323,6.344914499,7.351628119,5.608896505,7.273546728,6.765102586,6.013938643,8.464264882,7.442888216,6.78105191,7.972097967,5.029015212,5.888839105,5.534978681,6.905688452,6.803535845,7.645372784,5.204432726,6.773356332,7.801216572,9.068852022,5.808818899,6.895927566,2.883523539,4.377198305,7.013154069,6.244501581,4.446871485,5.763686667,6.79489838,5.799155283,7.187556608,8.452484428,6.879972747,8.146332917,6.194841806,8.141580006,5.665580729,6.972127724,5.409682523,6.996281369,5.082757126,6.286279424,7.118606746,7.973452013,6.142504782,7.200092361,4.659205941,6.22721294,6.495661475,7.806669264,6.166331324,5.216333195,5.614921015,7.011821161,7.534224379,6.657791376,6.813472903,8.075452743,7.900355688,9.013690143,8.220891436,6.847080035,7.663867431,9.034313366,9.37160872,7.455661607,7.967366566,9.49946109,8.238773938,6.868045428,7.036296824,5.509817511,8.923154879,7.237271378,5.658545131,7.214188797,6.284794348,7.545857274,6.670619162,8.009236231,7.520203854,8.955035287,7.293280469,8.733153669,6.03251523,7.20900111,5.290805326,6.644759213,8.504782772,7.542875977,4.871381837,5.940861638,6.566723688,7.51633102,8.039012191,6.50525772,8.27283035,6.515668653
36,9.291723844,8.063025859,8.353111576,7.070298579,8.389858759,9.40196405,9.07611029,10.01021104,6.261713024,7.238380827,7.895423801,8.651274415,6.103764166,6.930613898,6.917213673,6.035838633,6.692112148,7.386606799,5.232175934,6.177992959,5.788387167,6.565291159,10.22391178,11.1345382,8.373423732,9.090242021,5.560985524,6.394728141,5.624249728,6.836150744,7.178780119,6.25618494,7.436943593,8.512971867,4.274209284,6.110358173,2.808977216,3.567996637,10.43887063,9.327671789,5.009637612,3.954660036,7.085174451,6.136162074,6.355584001,5.70383073,7.609190561,6.71737151,7.059756511,6.411395246,7.203274811,6.426855296,6.014478614,5.168904042,8.223374003,7.604735959,7.905919871,7.137584535,10.32956461,9.082345567,9.120630351,8.350350891,6.520386645,5.582565091,7.092212701,5.661792119,5.875913716,5.028782059,7.602911285,8.608489124,6.63668027,7.4220353,8.733732822,7.745106584,9.550873939,8.437603925,7.837125557,6.967943886,7.07546048,8.591195784,5.63342569,6.965845606,7.276958774,8.647603888,6.370126058,7.380143359,5.579557151,7.374128423,6.597889738,5.752426705,8.447527567,7.438384569,6.784768972,7.963477256,5.097586193,6.024295477,5.412527136,6.888693635,6.787506538,7.641124328,5.24963132,6.889505207,7.867715552,9.106207828,5.806353245,6.90734247,2.897890612,4.294292142,7.086413056,6.263801162,4.600446065,5.906060955,6.78435627,5.821743467,7.322199123,8.506123089,6.859788991,8.076154592,6.214886081,8.282401161,5.810381399,7.253653218,5.421727492,6.909486595,5.038137056,6.209264449,7.05512934,7.85451367,6.171904487,7.233882844,4.560568386,6.202233469,6.245647765,7.749932709,6.280435654,5.32676046,5.577690024,6.966242387,7.568227335,6.61938547,6.916195631,8.155892716,7.878393872,9.002860101,8.253158002,6.886451118,7.628138698,9.014169402,9.314254935,7.429372585,7.984658102,9.482555826,8.307293482,6.953738922,7.09845934,5.654269272,8.929078116,7.27012297,5.498189975,7.095245309,6.196355703,7.513274186,6.490772912,8.083544272,7.520493667,8.840164308,7.288467123,8.696049735,6.022334514,7.229410073,5.291151198,6.687549402,8.511842339,7.526669449,4.787699343,5.852347307,6.490347602,7.428039445,8.106288547,6.674000075,8.199661273,6.402233438
39,9.381558613,8.157991052,8.307737237,7.012057187,8.283256002,9.28263998,9.145871473,10.05390496,6.203712195,7.216748575,7.950249556,8.746012863,5.920674708,6.746270451,7.039645588,6.131779269,6.581822392,7.338772173,5.335310394,6.311776691,5.62376991,6.474910501,10.28559172,11.10732141,8.174417716,9.018691313,5.361698984,6.258869706,5.56406551,6.730243161,7.203245171,6.376561848,7.45042529,8.533344596,4.091640258,6.021293051,2.871783592,3.69699148,10.42219449,9.276807263,4.948381756,3.976100728,6.922917449,5.986992901,6.428640369,5.834354549,7.683620566,6.763910407,7.040280818,6.457896949,7.249444944,6.570394357,6.012269538,5.141788891,8.198245788,7.5657077,7.881415355,7.026964138,10.38737012,9.092745515,9.168528399,8.380272311,6.438213494,5.393333014,7.0492301,5.603402538,5.981612241,5.135785529,7.591480027,8.607571144,6.717804701,7.52916516,8.683538967,7.697908092,9.629759083,8.48844656,7.853094231,7.010007133,7.131852564,8.627710299,5.560493234,6.91779394,7.35229522,8.724199046,6.40719572,7.321983406,5.496111444,7.26754828,6.557591402,5.7813066,8.490375551,7.474160555,6.804477423,7.920528518,5.246739178,6.170416599,5.341224672,6.868437959,6.800094852,7.58248574,5.319985432,6.861658837,7.896096821,9.135657667,5.79573947,6.884822728,2.800912173,4.274409901,7.070193279,6.254467283,4.697151477,5.981440964,6.800346535,5.887126379,7.365174064,8.509163649,6.726180045,8.050854178,6.274307691,8.373838128,5.715906577,7.215895925,5.556088642,6.913572882,4.978757476,6.089887109,6.952733635,7.808016714,6.215203456,7.327724954,4.521956435,6.204641247,6.086037545,7.69775097,6.327012881,5.389798234,5.494543657,6.954929331,7.543870956,6.665198047,7.116654411,8.247010246,7.896575587,9.068183115,8.231686704,6.847691144,7.635825103,9.010822937,9.242557655,7.448893945,8.030631856,9.482482639,8.341640726,7.015538326,7.131597857,5.751852745,8.859128004,7.226867925,5.378763148,6.909670904,6.098064037,7.512019302,6.453088718,8.235912214,7.527672283,8.872678175,7.284460515,8.766671546,6.030943956,7.234165674,5.259732788,6.654855746,8.573392152,7.595444161,4.787453812,5.863079055,6.427942828,7.312192831,8.254549594,6.92275451,8.116429572,6.266583838
42,9.529987303,8.225706292,8.204712914,6.935711427,8.165922177,9.117813883,9.118410004,10.04443896,6.153789889,7.109386753,8.016555495,8.799758406,5.75274717,6.577282265,7.127216147,6.237819571,6.540768456,7.291086682,5.457348899,6.463275099,5.447210754,6.346509356,10.33881565,11.1187685,7.922169526,8.851506369,5.262722964,6.080360022,5.352529309,6.577461897,7.275468164,6.448565267,7.496074306,8.579129326,4.106261682,5.857791819,3.023433313,3.720832434,10.37260049,9.361654555,4.92845209,4.015333735,6.795081824,5.883787216,6.670829409,5.94444968,7.641730498,6.651811783,7.097078272,6.532879457,7.305157425,6.731670966,6.04766674,5.088670259,8.183364223,7.532673164,7.735881721,6.803813122,10.57419661,9.200606773,9.074630846,8.260251388,6.328245886,5.109241529,7.00096829,5.716008747,6.210912413,5.34466332,7.475708194,8.519059338,6.80803819,7.635390822,8.716467461,7.642330796,9.63855347,8.496353394,7.932923799,7.120912442,7.132048373,8.661442201,5.478654306,6.896026972,7.408659595,8.798484926,6.366264289,7.306186488,5.429937845,7.224105827,6.607088618,5.826023086,8.386461709,7.358148272,6.803690543,7.914349626,5.348555786,6.301468083,5.276454302,6.794963429,6.830573695,7.574367432,5.442096379,7.077583345,7.942552801,9.21376823,5.948781556,7.004984868,2.820585223,4.262568357,7.102867379,6.262107792,4.769340625,6.075011523,6.745595378,5.852668451,7.418592993,8.538236879,6.81523778,7.989220362,6.33567818,8.423009498,5.644008593,7.149762793,5.646833183,6.856344872,5.015321326,6.038846413,6.760256948,7.70627238,6.289875118,7.375292401,4.545570261,6.150418929,6.005115486,7.790662745,6.342436756,5.419496656,5.335859443,6.949658193,7.695712118,6.750331325,7.134377058,8.180563306,7.863767863,9.023250689,8.270091475,6.896924025,7.710085927,9.029707083,9.091374044,7.456550677,8.072914963,9.49782633,8.397971303,7.124548337,7.134686889,5.834397998,8.863107412,7.271520474,5.274629276,6.784025722,6.035171331,7.480001671,6.443531718,8.425351862,7.535309748,8.874061077,7.223661468,8.758247542,6.05407367,7.239374075,5.24633453,6.655032532,8.557932928,7.623479652,4.760074474,5.877438388,6.264518497,7.217308224,8.340325233,7.015871293,8.057415218,6.109728717
45,9.521648597,8.305075677,8.215387635,6.944134215,8.100091975,9.003752107,9.062824118,9.93252405,6.079237205,6.995298993,8.110432048,8.836611398,5.56161793,6.450418979,7.289294753,6.367311285,6.464727991,7.216471437,5.538775045,6.535573808,5.303359313,6.205036986,10.30211949,11.12148641,7.757214062,8.809940579,5.004008893,5.956469172,5.243465457,6.453019836,7.350834102,6.532151636,7.435001009,8.493431933,4.303420151,5.774134827,3.107058094,3.801980668,10.33315605,9.382515281,4.928943193,4.111965102,6.630568,5.694871816,6.934000937,6.103381522,7.640144567,6.654348954,7.115006746,6.502674527,7.408786675,6.834166006,6.036491117,5.053035721,8.18262904,7.560099272,7.595214941,6.631923175,10.54364282,9.195519344,9.014810924,8.181739791,6.184239484,4.877179615,6.932031881,5.825649663,6.422576508,5.487895863,7.463307176,8.529763479,6.980156015,7.734438829,8.655072501,7.572299849,9.625024156,8.510945952,7.965188824,7.077891282,7.139334493,8.674297032,5.429038957,6.88631832,7.418775708,8.824230561,6.368853115,7.329021763,5.366182256,7.195773899,6.588878888,5.870524678,8.298537944,7.244008352,6.870888225,7.906692102,5.422809696,6.399472635,5.26804869,6.779816222,6.830431319,7.631414351,5.572986363,7.27963495,7.931125078,9.135108757,5.979209312,6.818696723,2.762333072,4.147004702,7.125003018,6.256071051,4.964374784,6.192416733,6.822746075,5.893110045,7.383316463,8.514634285,6.814761404,7.948706058,6.328766863,8.332196889,5.578787413,7.127616432,5.745976853,6.814480538,5.141879228,6.016055352,6.674172608,7.628210406,6.3277978,7.385146241,4.59700533,6.171219166,6.010749454,7.80586427,6.404170282,5.477999635,5.194397944,6.906060527,7.661437267,6.727079753,7.034464088,8.134185946,7.884146434,9.055534937,8.28552002,6.925952425,7.681221843,9.025849378,9.051660179,7.405458797,8.075486487,9.441748196,8.505540606,7.243630167,7.171970789,5.889193918,8.878433758,7.318727348,5.212178527,6.638289011,5.944467175,7.414512256,6.532426884,8.647398337,7.542781582,8.866251124,7.225924508,8.779450666,6.048159555,7.248649047,5.2314973,6.619650822,8.46241319,7.555604344,4.715010286,5.808905663,6.456392801,7.344026212,8.503923153,7.126488757,7.995078486,6.061503196
48,9.459363404,8.313101467,8.230658844,7.035317832,8.11597585,9.003989616,9.017627016,9.793598419,5.946108391,6.859910787,8.154523285,8.826563374,5.479758845,6.388689459,7.267881191,6.362201663,6.38182991,7.229241523,5.659099663,6.64394717,5.226615157,6.136727222,10.1805215,11.07348084,7.665628872,8.744787019,4.855759467,5.76753847,5.145456734,6.293589914,7.513514823,6.653484275,7.456765653,8.531888654,4.447449269,5.704306882,3.099537546,3.800266438,10.32493874,9.381674904,5.108278183,4.303401562,6.46455389,5.458217749,6.990637453,6.06465201,7.639506856,6.612008772,7.204215502,6.571147921,7.426044034,6.856884788,6.00394512,5.063412387,8.272194691,7.587687395,7.39648795,6.45739514,10.48257359,9.208361961,9.02049278,8.097765124,6.103763183,4.621940393,6.966636635,5.975957999,6.785864868,5.764635721,7.458990816,8.481700124,7.019007124,7.835532528,8.531350421,7.422573812,9.606790619,8.483958039,7.956471391,7.025317075,7.083247066,8.63375266,5.424089232,6.899726154,7.409551741,8.864997744,6.292445153,7.246159052,5.291774183,7.187716745,6.656035607,5.84591276,8.334291692,7.145619147,6.813416911,7.851014329,5.503450009,6.481511012,5.166742204,6.759517882,6.88676477,7.652098601,5.701073759,7.432321912,7.919388108,9.045034107,5.840353157,6.76990768,2.791902577,4.132193243,7.067639564,6.215496199,5.047632514,6.218183014,6.923958766,6.022657636,7.39753148,8.544891164,6.81120907,7.890258868,6.363765945,8.109674716,5.533552205,7.12973057,5.88569792,6.891811155,5.16809491,6.031693792,6.514791324,7.45749891,6.316241367,7.437176144,4.738932369,6.126265502,6.120949763,7.866617888,6.420079828,5.416467207,5.374619707,6.821971049,7.690344921,6.755506273,7.039532087,8.086251109,7.902004809,9.098748266,8.27488731,6.904541259,7.64947593,9.06505433,8.99288541,7.319304134,8.061610571,9.512532628,8.580546603,7.370648004,7.141231967,5.879730011,8.890575066,7.251212381,5.16154163,6.572223444,5.809696894,7.337875987,6.555099542,8.636208427,7.539308523,8.836405208,7.205281188,8.726482052,6.112389795,7.24025262,5.195644041,6.631407241,8.494896586,7.569414905,4.675341699,5.681235077,6.418978112,7.365426328,8.62995365,7.268345685,7.967952435,5.969821187
51,9.343595132,8.355176419,8.169756728,7.048847424,8.274646156,9.111233177,8.988797751,9.685606021,5.875711106,6.760145339,8.245630904,8.788709689,5.367455356,6.265890679,7.218528174,6.357749445,6.339618679,7.256798743,5.759424364,6.682470875,5.083397486,5.992322588,10.1737641,11.09139522,7.547501905,8.558521601,4.717464255,5.672310288,4.980280514,6.18086604,7.611177373,6.740105118,7.271453912,8.359363433,4.576412787,5.741637136,3.192901032,4.031841391,10.31777592,9.292312199,5.269662703,4.319688993,6.393482072,5.491713849,7.350107754,6.349103008,7.64930121,6.580693353,7.22367891,6.677209672,7.522494334,6.88488562,6.10420347,5.159956298,8.410795444,7.615835148,7.382658735,6.347168581,10.50152013,9.337109885,8.919909697,7.998833227,5.97796462,4.399191062,7.02550838,6.091543072,7.03736634,5.991797226,7.392724261,8.387953088,7.148481867,7.84249278,8.38281003,7.307354172,9.566151421,8.534669121,7.959471465,7.011495775,7.028105435,8.619292836,5.525078551,6.972946938,7.363719509,8.967829726,6.309147724,7.298622952,5.267713356,7.109247288,6.773653741,5.921207056,8.387744631,7.007553781,6.788146286,7.828721288,5.552421544,6.546170331,5.227065812,6.750274809,6.908030182,7.618189417,5.780763444,7.457709635,7.908117665,8.966295668,5.726500589,6.628917332,2.829139268,4.033903569,7.083446901,6.306206546,5.041672143,6.222467115,6.94756684,6.000375405,7.420200604,8.632465349,6.803931364,7.882589042,6.379415804,7.993399777,5.449204896,7.047780147,5.951211305,6.988672549,5.199157624,5.99610707,6.399536233,7.386423356,6.371403378,7.365604999,4.832006623,6.093408324,6.158962575,7.909042483,6.442569674,5.408133504,5.485601881,6.816811938,7.644670627,6.743224896,6.936874584,7.92761818,7.924112569,9.119337037,8.285667867,6.866229242,7.673049524,9.0513789,8.99157767,7.321973095,8.084633325,9.485904596,8.670106631,7.446604058,7.244743198,5.91715413,8.968599946,7.215816863,5.209647301,6.553626324,5.809852322,7.412319745,6.5791751,8.424680528,7.536223192,8.844786487,7.116659469,8.706029233,6.156381405,7.197079547,5.171082769,6.64397065,8.520282624,7.626393119,4.638401557,5.811912766,6.442228807,7.489394769,8.726411233,7.372206251,7.958313515,5.969397038
54,9.240733358,8.373505479,8.102469377,7.033886621,8.410191199,9.159462921,8.933214427,9.579456561,5.825518432,6.748147079,8.303558394,8.856955007,5.226791081,6.155012673,7.253543686,6.28060228,6.379009641,7.295332275,5.747481535,6.59883664,4.971684825,5.893110045,10.30115435,11.14006037,7.421251916,8.484680607,4.650288271,5.60186942,4.868641905,6.119372599,7.754423254,6.848893706,7.466008907,8.564044664,4.65483018,5.75034512,3.369777589,4.199321969,10.20857022,9.216665124,5.41819398,4.371297748,6.317824388,5.476890815,7.49231553,6.483903145,7.674552821,6.688748762,7.142560395,6.621288772,7.556145181,6.917610064,6.13893191,5.163002227,8.526697485,7.657556856,7.188268568,6.149422249,10.21532344,9.176980985,8.866068012,7.878940284,5.837390941,4.156927832,7.139816524,6.170200402,7.181763084,6.080125821,7.380353989,8.336863499,7.141924461,7.905199555,8.23611225,7.197498454,9.560704838,8.560857959,7.978476296,7.008199555,7.011650448,8.59169052,5.665681248,7.088372451,7.349366231,9.03210496,6.388166012,7.290363846,5.254194515,7.023808938,6.877954492,6.005122896,8.345361826,6.872400818,6.78884158,7.697926279,5.487631547,6.449059776,5.207976286,6.622346563,6.885731697,7.655225993,5.839031427,7.547713296,7.834497112,8.924590803,5.693517805,6.673284424,2.893541256,4.037312101,7.049825246,6.317025645,5.157277286,6.32266787,6.99262676,6.056074306,7.495295191,8.604551877,6.707686412,7.967810301,6.428734323,7.874610149,5.383942422,6.9870541,5.950796921,7.023442603,5.073136801,5.941749322,6.249320363,7.294915078,6.444348299,7.507209601,5.014072696,6.126155401,6.119965768,7.946481234,6.41740446,5.337956163,5.575203673,6.790957812,7.619347544,6.639990964,7.076503727,8.032540071,7.91916978,9.140007276,8.220517745,6.802071008,7.708679589,9.122614154,9.055106902,7.324156265,8.095251262,9.472176783,8.666462485,7.400427285,7.183495319,5.930748688,9.098298797,7.230104909,5.105587625,6.426597856,5.867994632,7.475748324,6.565836428,8.096961652,7.497660235,8.760526126,7.005030835,8.616555054,6.164155254,7.215622288,5.141377345,6.60952555,8.481577683,7.619751243,4.62914787,5.767873525,6.472126776,7.633238173,8.788051547,7.444185449,7.974381481,5.939912878
57,9.271436243,8.433536921,8.069290551,7.066670645,8.586701171,9.221931468,8.761194553,9.454779215,5.755335959,6.710172651,8.206248595,8.754151529,5.101780964,6.057259611,7.258683352,6.450803128,6.442314569,7.328144376,5.74253646,6.494183628,4.891609347,5.849061891,10.36429182,11.17409509,7.265275287,8.411557585,4.612585067,5.574055794,4.773712706,5.999437307,7.857512647,6.985095919,7.42555944,8.515377737,4.82245591,5.812758553,,,10.16677122,9.088249832,5.655896834,4.565311052,6.255606845,5.532085502,7.574718477,6.581440648,7.724465354,6.739471864,7.224459357,6.619866237,7.585944898,6.972736048,6.280646862,5.301502617,8.593384258,7.629181083,7.048598442,5.96839945,10.10814642,9.155377054,8.695997815,7.665054533,5.729218097,3.986026844,7.385905022,6.199577808,7.344667521,6.267057443,7.405179269,8.290304518,7.17345161,8.070888489,8.1666067,7.107418659,9.490545664,8.634227817,7.975706364,6.970631607,6.94691651,8.586418695,5.886862152,7.20562558,7.330805276,9.03836722,6.244732981,7.275786212,5.211607238,6.873364969,6.990216377,6.003564608,8.315950276,6.840034064,6.7540496,7.701078171,5.493858389,6.460284204,5.253181131,6.51252977,6.850959787,7.650498873,5.951608942,7.527173507,7.777774746,8.879794254,5.732749166,6.701165048,2.966303086,4.066757431,7.004567153,6.221956686,5.257404873,6.386855643,6.997669469,6.022246176,7.497074963,8.580254134,6.608805111,7.898676978,6.426525111,7.780198005,5.388586642,6.957160987,5.995015346,7.193300355,4.950360391,5.827554032,6.071141573,7.127421132,6.476595711,7.538332508,5.071985903,6.185039127,6.049487003,7.919651634,6.395376455,5.16543367,5.382323383,6.61011717,7.635884297,6.627839844,7.007832475,7.911239157,7.942029589,9.113507009,8.24758207,6.773601701,7.676326009,9.145600035,9.140924734,7.312768286,8.086962409,9.514607927,8.647088874,7.44578337,7.167060764,5.924102126,9.169877317,7.199042784,5.13496183,6.422883153,5.952757512,7.536387065,6.541133923,8.07181194,7.472265587,8.716464994,6.984942448,8.582300449,6.179807845,7.213123179,5.125148193,6.557503336,8.495058152,7.61769112,4.516916205,5.673778723,6.47919478,7.672434425,8.901284907,7.468826548,7.919004041,5.946754577
